variant,seed,rid,top1,rr
single,42,4,1.0,1.0
single,42,9,0.0,0.0
single,42,13,0.0,0.0
single,42,14,1.0,1.0
single,42,29,1.0,1.0
single,42,30,0.0,0.5
single,42,33,0.0,0.0
single,42,38,0.0,0.2
single,42,42,0.0,0.0
single,42,50,1.0,1.0
single,42,53,1.0,1.0
single,42,58,0.0,0.0
single,42,62,0.0,0.0
single,42,64,1.0,1.0
single,42,65,1.0,1.0
single,42,73,0.0,0.5
single,42,77,1.0,1.0
single,42,88,1.0,1.0
single,42,89,0.0,0.3333333333333333
single,43,2,0.0,0.0
single,43,8,0.0,0.0
single,43,12,1.0,1.0
single,43,15,0.0,0.0
single,43,26,0.0,0.5
single,43,29,1.0,1.0
single,43,33,0.0,0.0
single,43,37,0.0,0.0
single,43,39,1.0,1.0
single,43,42,0.0,0.0
single,43,49,0.0,0.5
single,43,60,0.0,0.0
single,43,62,0.0,0.0
single,43,77,1.0,1.0
single,43,80,1.0,1.0
single,43,84,0.0,0.0
single,43,89,0.0,0.3333333333333333
single,43,90,0.0,0.5
single,43,91,1.0,1.0
single,44,8,0.0,0.0
single,44,10,0.0,0.0
single,44,14,1.0,1.0
single,44,15,0.0,0.0
single,44,22,0.0,0.25
single,44,26,0.0,0.5
single,44,32,0.0,0.0
single,44,44,0.0,0.0
single,44,45,0.0,0.0
single,44,50,1.0,1.0
single,44,51,0.0,0.5
single,44,56,0.0,0.5
single,44,60,0.0,0.0
single,44,66,1.0,1.0
single,44,76,1.0,1.0
single,44,81,0.0,0.0
single,44,82,0.0,0.0
single,44,90,0.0,0.5
single,44,93,0.0,0.0
single,45,3,1.0,1.0
single,45,9,0.0,0.0
single,45,12,1.0,1.0
single,45,17,0.0,0.0
single,45,26,0.0,0.5
single,45,32,0.0,0.0
single,45,35,1.0,1.0
single,45,38,0.0,0.2
single,45,45,0.0,0.0
single,45,49,0.0,0.5
single,45,51,0.0,0.5
single,45,61,1.0,1.0
single,45,62,0.0,0.0
single,45,70,0.0,0.5
single,45,71,1.0,1.0
single,45,72,1.0,1.0
single,45,75,1.0,1.0
single,45,87,0.0,0.0
single,45,88,1.0,1.0
single,46,3,1.0,1.0
single,46,4,1.0,1.0
single,46,5,1.0,1.0
single,46,15,0.0,0.0
single,46,23,0.0,0.2
single,46,27,0.0,0.0
single,46,32,0.0,0.0
single,46,36,0.0,0.0
single,46,42,0.0,0.0
single,46,43,0.0,0.0
single,46,44,0.0,0.0
single,46,61,1.0,1.0
single,46,62,0.0,0.0
single,46,68,0.0,0.0
single,46,71,1.0,1.0
single,46,72,1.0,1.0
single,46,76,1.0,1.0
single,46,77,1.0,1.0
single,46,90,0.0,0.5
single,47,1,0.0,0.0
single,47,3,1.0,1.0
single,47,12,1.0,1.0
single,47,17,0.0,0.0
single,47,30,0.0,0.5
single,47,32,0.0,0.0
single,47,33,0.0,0.0
single,47,44,0.0,0.0
single,47,50,1.0,1.0
single,47,51,0.0,0.5
single,47,53,1.0,1.0
single,47,55,0.0,0.0
single,47,60,0.0,0.0
single,47,64,1.0,1.0
single,47,66,1.0,1.0
single,47,68,0.0,0.0
single,47,69,0.0,0.0
single,47,74,0.0,0.0
single,47,90,0.0,0.5
single,48,0,0.0,0.0
single,48,13,0.0,0.0
single,48,16,1.0,1.0
single,48,18,0.0,0.0
single,48,22,0.0,0.25
single,48,30,0.0,0.5
single,48,31,0.0,0.0
single,48,47,0.0,0.25
single,48,48,0.0,0.0
single,48,49,0.0,0.5
single,48,51,0.0,0.5
single,48,56,0.0,0.5
single,48,63,0.0,0.5
single,48,65,1.0,1.0
single,48,72,1.0,1.0
single,48,80,1.0,1.0
single,48,82,0.0,0.0
single,48,90,0.0,0.5
single,48,91,1.0,1.0
single,49,1,0.0,0.0
single,49,6,1.0,1.0
single,49,7,0.0,0.3333333333333333
single,49,17,0.0,0.0
single,49,23,0.0,0.2
single,49,29,1.0,1.0
single,49,33,0.0,0.0
single,49,36,0.0,0.0
single,49,39,1.0,1.0
single,49,52,0.0,0.0
single,49,53,1.0,1.0
single,49,55,0.0,0.0
single,49,57,1.0,1.0
single,49,67,0.0,0.3333333333333333
single,49,69,0.0,0.0
single,49,72,1.0,1.0
single,49,83,1.0,1.0
single,49,84,0.0,0.0
single,49,93,0.0,0.0
single,50,2,0.0,0.0
single,50,6,1.0,1.0
single,50,10,0.0,0.0
single,50,13,0.0,0.0
single,50,26,0.0,0.5
single,50,27,0.0,0.0
single,50,32,0.0,0.0
single,50,38,0.0,0.2
single,50,49,0.0,0.5
single,50,51,0.0,0.5
single,50,53,1.0,1.0
single,50,56,0.0,0.5
single,50,61,1.0,1.0
single,50,69,0.0,0.0
single,50,72,1.0,1.0
single,50,76,1.0,1.0
single,50,81,0.0,0.0
single,50,86,0.0,0.0
single,50,92,1.0,1.0
single,51,0,0.0,0.0
single,51,1,0.0,0.0
single,51,10,0.0,0.0
single,51,14,1.0,1.0
single,51,25,0.0,0.3333333333333333
single,51,29,1.0,1.0
single,51,32,0.0,0.0
single,51,40,0.0,0.0
single,51,42,0.0,0.0
single,51,44,0.0,0.0
single,51,46,1.0,1.0
single,51,59,1.0,1.0
single,51,63,0.0,0.5
single,51,66,1.0,1.0
single,51,71,1.0,1.0
single,51,76,1.0,1.0
single,51,82,0.0,0.0
single,51,83,1.0,1.0
single,51,87,0.0,0.0
single,52,4,1.0,1.0
single,52,14,1.0,1.0
single,52,17,0.0,0.0
single,52,18,0.0,0.0
single,52,27,0.0,0.0
single,52,30,0.0,0.5
single,52,32,0.0,0.0
single,52,39,1.0,1.0
single,52,41,0.0,0.0
single,52,43,0.0,0.0
single,52,51,0.0,0.5
single,52,56,0.0,0.5
single,52,60,0.0,0.0
single,52,64,1.0,1.0
single,52,65,1.0,1.0
single,52,71,1.0,1.0
single,52,85,1.0,1.0
single,52,89,0.0,0.3333333333333333
single,52,92,1.0,1.0
single,53,3,1.0,1.0
single,53,4,1.0,1.0
single,53,12,1.0,1.0
single,53,18,0.0,0.0
single,53,19,0.0,0.0
single,53,25,0.0,0.3333333333333333
single,53,34,1.0,1.0
single,53,37,0.0,0.0
single,53,41,0.0,0.0
single,53,45,0.0,0.0
single,53,52,0.0,0.0
single,53,61,1.0,1.0
single,53,62,0.0,0.0
single,53,73,0.0,0.5
single,53,80,1.0,1.0
single,53,82,0.0,0.0
single,53,83,1.0,1.0
single,53,87,0.0,0.0
single,53,89,0.0,0.3333333333333333
single,54,2,0.0,0.0
single,54,8,0.0,0.0
single,54,10,0.0,0.0
single,54,18,0.0,0.0
single,54,24,0.0,0.25
single,54,31,0.0,0.0
single,54,34,1.0,1.0
single,54,40,0.0,0.0
single,54,43,0.0,0.0
single,54,45,0.0,0.0
single,54,46,1.0,1.0
single,54,55,0.0,0.0
single,54,60,0.0,0.0
single,54,66,1.0,1.0
single,54,69,0.0,0.0
single,54,80,1.0,1.0
single,54,82,0.0,0.0
single,54,83,1.0,1.0
single,54,86,0.0,0.0
single,55,0,0.0,0.0
single,55,12,1.0,1.0
single,55,15,0.0,0.0
single,55,17,0.0,0.0
single,55,21,0.0,0.0
single,55,23,0.0,0.2
single,55,24,0.0,0.25
single,55,39,1.0,1.0
single,55,45,0.0,0.0
single,55,46,1.0,1.0
single,55,47,0.0,0.25
single,55,59,1.0,1.0
single,55,60,0.0,0.0
single,55,64,1.0,1.0
single,55,74,0.0,0.0
single,55,75,1.0,1.0
single,55,85,1.0,1.0
single,55,87,0.0,0.0
single,55,88,1.0,1.0
