variant,seed,rid,top1,rr
multi,42,4,1.0,1.0
multi,42,9,0.0,0.5
multi,42,13,0.0,0.0
multi,42,14,1.0,1.0
multi,42,29,1.0,1.0
multi,42,30,0.0,0.3333333333333333
multi,42,33,0.0,0.0
multi,42,38,0.0,0.2
multi,42,42,0.0,0.0
multi,42,50,1.0,1.0
multi,42,53,1.0,1.0
multi,42,58,0.0,0.0
multi,42,62,0.0,0.0
multi,42,64,1.0,1.0
multi,42,65,1.0,1.0
multi,42,73,0.0,0.25
multi,42,77,1.0,1.0
multi,42,88,1.0,1.0
multi,42,89,0.0,0.2
multi,43,2,0.0,0.5
multi,43,8,0.0,0.0
multi,43,12,1.0,1.0
multi,43,15,0.0,0.0
multi,43,26,1.0,1.0
multi,43,29,1.0,1.0
multi,43,33,0.0,0.0
multi,43,37,0.0,0.0
multi,43,39,1.0,1.0
multi,43,42,0.0,0.0
multi,43,49,0.0,0.5
multi,43,60,0.0,0.0
multi,43,62,0.0,0.0
multi,43,77,1.0,1.0
multi,43,80,0.0,0.5
multi,43,84,0.0,0.0
multi,43,89,0.0,0.2
multi,43,90,1.0,1.0
multi,43,91,1.0,1.0
multi,44,8,0.0,0.0
multi,44,10,0.0,0.0
multi,44,14,1.0,1.0
multi,44,15,0.0,0.0
multi,44,22,0.0,0.5
multi,44,26,1.0,1.0
multi,44,32,0.0,0.0
multi,44,44,0.0,0.0
multi,44,45,0.0,0.0
multi,44,50,1.0,1.0
multi,44,51,0.0,0.5
multi,44,56,0.0,0.5
multi,44,60,0.0,0.0
multi,44,66,1.0,1.0
multi,44,76,1.0,1.0
multi,44,81,0.0,0.0
multi,44,82,0.0,0.0
multi,44,90,1.0,1.0
multi,44,93,0.0,0.0
multi,45,3,1.0,1.0
multi,45,9,0.0,0.5
multi,45,12,1.0,1.0
multi,45,17,0.0,0.0
multi,45,26,1.0,1.0
multi,45,32,0.0,0.0
multi,45,35,1.0,1.0
multi,45,38,0.0,0.2
multi,45,45,0.0,0.0
multi,45,49,0.0,0.5
multi,45,51,1.0,1.0
