variant,seed,rid,top1,rr
lsi,42,9,1.0,1.0
lsi,42,12,0.0,0.5
lsi,42,16,0.0,0.0
lsi,42,19,0.0,0.3333333333333333
lsi,42,26,1.0,1.0
lsi,42,34,0.0,0.0
lsi,42,40,0.0,0.0
lsi,42,42,0.0,0.5
lsi,42,45,0.0,0.0
lsi,42,49,1.0,1.0
lsi,42,53,0.0,0.0
lsi,42,57,0.0,0.5
lsi,42,63,1.0,1.0
lsi,42,67,0.0,0.2
lsi,42,77,1.0,1.0
lsi,42,80,0.0,0.5
lsi,42,81,0.0,0.0
lsi,42,95,0.0,0.0
lsi,42,96,0.0,0.0
lsi,42,97,1.0,1.0
lsi,42,103,0.0,0.0
lsi,43,18,1.0,1.0
lsi,43,20,0.0,0.3333333333333333
lsi,43,21,0.0,0.3333333333333333
lsi,43,23,1.0,1.0
lsi,43,26,1.0,1.0
lsi,43,27,0.0,0.5
lsi,43,31,1.0,1.0
lsi,43,33,0.0,0.0
lsi,43,40,0.0,0.0
lsi,43,46,0.0,0.0
lsi,43,47,1.0,1.0
lsi,43,49,1.0,1.0
lsi,43,60,0.0,0.25
lsi,43,75,1.0,1.0
lsi,43,78,1.0,1.0
lsi,43,79,0.0,0.0
lsi,43,81,0.0,0.0
lsi,43,89,0.0,0.0
lsi,43,91,0.0,0.25
lsi,43,96,0.0,0.0
lsi,43,102,0.0,0.3333333333333333
lsi,44,11,1.0,1.0
lsi,44,14,1.0,1.0
lsi,44,15,0.0,0.2
lsi,44,20,0.0,0.2
lsi,44,26,0.0,0.5
lsi,44,29,1.0,1.0
lsi,44,43,0.0,0.0
lsi,44,48,1.0,1.0
lsi,44,50,0.0,0.3333333333333333
lsi,44,51,1.0,1.0
lsi,44,52,0.0,0.0
lsi,44,62,1.0,1.0
lsi,44,65,0.0,0.0
lsi,44,71,1.0,1.0
lsi,44,72,1.0,1.0
lsi,44,76,0.0,0.3333333333333333
lsi,44,82,0.0,0.0
lsi,44,86,0.0,0.2
lsi,44,88,0.0,0.5
lsi,44,96,0.0,0.0
lsi,44,101,0.0,0.0
lsi,45,6,1.0,1.0
lsi,45,11,1.0,1.0
lsi,45,17,0.0,0.5
lsi,45,21,0.0,0.2
lsi,45,23,1.0,1.0
lsi,45,33,0.0,0.0
lsi,45,34,0.0,0.0
lsi,45,45,0.0,0.0
lsi,45,46,0.0,0.0
lsi,45,48,1.0,1.0
lsi,45,57,0.0,0.5
lsi,45,63,1.0,1.0
lsi,45,65,0.0,0.0
lsi,45,68,0.0,0.0
lsi,45,69,0.0,0.0
lsi,45,77,1.0,1.0
lsi,45,79,0.0,0.0
lsi,45,87,0.0,0.3333333333333333
lsi,45,91,0.0,0.25
lsi,45,92,0.0,0.0
lsi,45,105,0.0,0.0
lsi,46,3,1.0,1.0
lsi,46,6,1.0,1.0
lsi,46,9,1.0,1.0
lsi,46,13,0.0,0.5
