variant,seed,rid,top1,rr
multi,42,9,1.0,1.0
multi,42,12,0.0,0.3333333333333333
multi,42,16,0.0,0.3333333333333333
multi,42,19,0.0,0.25
multi,42,26,1.0,1.0
multi,42,34,0.0,0.0
multi,42,40,0.0,0.0
multi,42,42,0.0,0.5
multi,42,45,0.0,0.0
multi,42,49,1.0,1.0
multi,42,53,0.0,0.0
multi,42,57,1.0,1.0
multi,42,63,1.0,1.0
multi,42,67,0.0,0.3333333333333333
multi,42,77,1.0,1.0
multi,42,80,0.0,0.2
multi,42,81,0.0,0.0
multi,42,95,0.0,0.0
multi,42,96,0.0,0.0
multi,42,97,1.0,1.0
multi,42,103,0.0,0.0
multi,43,18,1.0,1.0
multi,43,20,0.0,0.3333333333333333
multi,43,21,0.0,0.5
multi,43,23,1.0,1.0
multi,43,26,0.0,0.5
multi,43,27,0.0,0.3333333333333333
multi,43,31,1.0,1.0
multi,43,33,0.0,0.0
multi,43,40,0.0,0.0
multi,43,46,0.0,0.0
multi,43,47,1.0,1.0
multi,43,49,1.0,1.0
multi,43,60,0.0,0.2
multi,43,75,1.0,1.0
multi,43,78,1.0,1.0
multi,43,79,0.0,0.0
multi,43,81,0.0,0.0
multi,43,89,0.0,0.0
multi,43,91,0.0,0.5
multi,43,96,0.0,0.0
multi,43,102,0.0,0.3333333333333333
multi,44,11,1.0,1.0
multi,44,14,1.0,1.0
multi,44,15,0.0,0.0
multi,44,20,0.0,0.25
multi,44,26,0.0,0.5
multi,44,29,1.0,1.0
multi,44,43,0.0,0.0
multi,44,48,1.0,1.0
multi,44,50,1.0,1.0
multi,44,51,1.0,1.0
multi,44,52,0.0,0.0
multi,44,62,1.0,1.0
multi,44,65,0.0,0.0
multi,44,71,1.0,1.0
multi,44,72,1.0,1.0
multi,44,76,0.0,0.5
multi,44,82,0.0,0.0
multi,44,86,0.0,0.0
multi,44,88,0.0,0.25
multi,44,96,0.0,0.0
multi,44,101,0.0,0.5
multi,45,6,1.0,1.0
multi,45,11,1.0,1.0
multi,45,17,0.0,0.5
multi,45,21,0.0,0.5
multi,45,23,1.0,1.0
multi,45,33,0.0,0.0
multi,45,34,0.0,0.0
multi,45,45,0.0,0.0
multi,45,46,0.0,0.0
multi,45,48,1.0,1.0
multi,45,57,1.0,1.0
multi,45,63,1.0,1.0
multi,45,65,0.0,0.0
multi,45,68,0.0,0.0
multi,45,69,0.0,0.5
multi,45,77,1.0,1.0
multi,45,79,0.0,0.0
multi,45,87,0.0,0.25
multi,45,91,0.0,0.5
multi,45,92,0.0,0.0
multi,45,105,0.0,0.0
multi,46,3,1.0,1.0
multi,46,6,1.0,1.0
multi,46,9,1.0,1.0
multi,46,13,0.0,0.5
multi,46,14,1.0,1.0
multi,46,27,0.0,0.3333333333333333
multi,46,40,0.0,0.0
multi,46,44,1.0,1.0
multi,46,45,0.0,0.0
multi,46,48,1.0,1.0
multi,46,53,0.0,0.0
multi,46,55,1.0,1.0
multi,46,63,1.0,1.0
multi,46,73,0.0,0.0
multi,46,76,0.0,0.5
multi,46,78,1.0,1.0
multi,46,79,0.0,0.0
multi,46,84,1.0,1.0
multi,46,86,0.0,0.0
multi,46,88,0.0,0.25
multi,46,101,0.0,0.5
multi,47,3,1.0,1.0
multi,47,9,1.0,1.0
multi,47,22,1.0,1.0
multi,47,24,1.0,1.0
multi,47,25,0.0,0.2
multi,47,27,0.0,0.3333333333333333
multi,47,32,1.0,1.0
multi,47,40,0.0,0.0
multi,47,47,1.0,1.0
