variant,seed,rid,top1,rr
reform,42,3,1.0,1.0
reform,42,4,1.0,1.0
reform,42,10,1.0,1.0
reform,42,11,0.0,0.0
reform,42,25,1.0,1.0
reform,42,27,1.0,1.0
reform,42,37,1.0,1.0
reform,42,38,1.0,1.0
reform,42,43,1.0,1.0
reform,42,47,1.0,1.0
reform,42,50,0.0,0.5
reform,42,53,0.0,0.0
reform,43,6,0.0,0.5
reform,43,7,1.0,1.0
reform,43,13,0.0,0.0
reform,43,16,1.0,1.0
reform,43,24,1.0,1.0
reform,43,26,1.0,1.0
reform,43,35,0.0,0.0
reform,43,39,1.0,1.0
reform,43,43,1.0,1.0
reform,43,45,0.0,0.5
reform,43,50,0.0,0.5
reform,43,52,1.0,1.0
reform,44,2,1.0,1.0
reform,44,5,0.0,0.5
reform,44,13,0.0,0.0
reform,44,14,1.0,1.0
reform,44,21,0.0,0.2
reform,44,27,1.0,1.0
reform,44,33,1.0,1.0
reform,44,37,1.0,1.0
reform,44,44,1.0,1.0
reform,44,46,1.0,1.0
reform,44,50,0.0,0.5
reform,44,54,0.0,0.0
reform,45,5,0.0,0.5
reform,45,7,1.0,1.0
reform,45,11,0.0,0.0
reform,45,17,1.0,1.0
reform,45,26,1.0,1.0
reform,45,28,1.0,1.0
reform,45,36,0.0,0.2
reform,45,37,1.0,1.0
reform,45,44,1.0,1.0
reform,45,46,1.0,1.0
reform,45,49,0.0,0.5
reform,45,56,0.0,0.0
reform,46,5,1.0,1.0
reform,46,6,0.0,0.5
reform,46,13,0.0,0.0
reform,46,15,0.0,0.0
reform,46,24,1.0,1.0
reform,46,27,1.0,1.0
reform,46,32,1.0,1.0
reform,46,33,1.0,1.0
reform,46,46,1.0,1.0
reform,46,47,1.0,1.0
reform,46,51,1.0,1.0
reform,46,52,1.0,1.0
reform,47,1,1.0,1.0
reform,47,6,0.0,0.5
reform,47,9,1.0,1.0
reform,47,10,1.0,1.0
reform,47,21,0.0,0.2
reform,47,25,1.0,1.0
reform,47,34,1.0,1.0
reform,47,37,1.0,1.0
reform,47,40,1.0,1.0
reform,47,43,1.0,1.0
reform,47,50,0.0,0.5
reform,47,52,1.0,1.0
reform,48,0,1.0,1.0
reform,48,6,0.0,0.5
