variant,seed,rid,top1,rr
lsi,42,3,1.0,1.0
lsi,42,4,0.0,0.5
lsi,42,10,1.0,1.0
lsi,42,11,0.0,0.0
lsi,42,25,0.0,0.3333333333333333
lsi,42,27,0.0,0.5
lsi,42,37,1.0,1.0
lsi,42,38,1.0,1.0
lsi,42,43,1.0,1.0
lsi,42,47,1.0,1.0
lsi,42,50,0.0,0.5
lsi,42,53,0.0,0.0
lsi,43,6,0.0,0.5
lsi,43,7,1.0,1.0
lsi,43,13,0.0,0.0
lsi,43,16,1.0,1.0
lsi,43,24,1.0,1.0
lsi,43,26,1.0,1.0
lsi,43,35,0.0,0.0
lsi,43,39,1.0,1.0
lsi,43,43,1.0,1.0
lsi,43,45,0.0,0.3333333333333333
lsi,43,50,0.0,0.5
lsi,43,52,1.0,1.0
lsi,44,2,1.0,1.0
lsi,44,5,0.0,0.5
lsi,44,13,0.0,0.0
lsi,44,14,0.0,0.5
lsi,44,21,0.0,0.2
lsi,44,27,0.0,0.5
lsi,44,33,1.0,1.0
lsi,44,37,1.0,1.0
lsi,44,44,1.0,1.0
lsi,44,46,1.0,1.0
lsi,44,50,0.0,0.5
lsi,44,54,0.0,0.0
lsi,45,5,0.0,0.5
lsi,45,7,1.0,1.0
lsi,45,11,0.0,0.0
lsi,45,17,0.0,0.0
lsi,45,26,1.0,1.0
lsi,45,28,1.0,1.0
lsi,45,36,0.0,0.0
lsi,45,37,1.0,1.0
lsi,45,44,1.0,1.0
lsi,45,46,1.0,1.0
lsi,45,49,0.0,0.5
lsi,45,56,0.0,0.0
lsi,46,5,0.0,0.5
lsi,46,6,0.0,0.5
lsi,46,13,0.0,0.0
lsi,46,15,0.0,0.0
lsi,46,24,1.0,1.0
lsi,46,27,0.0,0.5
lsi,46,32,1.0,1.0
lsi,46,33,1.0,1.0
lsi,46,46,1.0,1.0
lsi,46,47,1.0,1.0
lsi,46,51,1.0,1.0
lsi,46,52,1.0,1.0
lsi,47,1,1.0,1.0
lsi,47,6,0.0,0.5
lsi,47,9,0.0,0.3333333333333333
lsi,47,10,1.0,1.0
lsi,47,21,0.0,0.2
lsi,47,25,0.0,0.3333333333333333
lsi,47,34,0.0,0.5
lsi,47,37,1.0,1.0
lsi,47,40,1.0,1.0
lsi,47,43,1.0,1.0
lsi,47,50,0.0,0.5
lsi,47,52,1.0,1.0
lsi,48,0,1.0,1.0
lsi,48,6,0.0,0.5
lsi,48,8,0.0,0.5
lsi,48,18,0.0,0.5
lsi,48,22,1.0,1.0
lsi,48,24,1.0,1.0
lsi,48,31,0.0,0.0
lsi,48,37,1.0,1.0
lsi,48,41,0.0,0.0
lsi,48,46,1.0,1.0
lsi,48,48,1.0,1.0
lsi,48,52,1.0,1.0
lsi,49,4,0.0,0.3333333333333333
lsi,49,7,1.0,1.0
lsi,49,11,0.0,0.0
lsi,49,14,0.0,0.5
lsi,49,22,1.0,1.0
lsi,49,23,1.0,1.0
lsi,49,31,0.0,0.0
lsi,49,36,0.0,0.0
lsi,49,41,0.0,0.0
lsi,49,46,1.0,1.0
lsi,49,50,0.0,0.5
lsi,49,52,1.0,1.0
lsi,50,0,1.0,1.0
lsi,50,3,1.0,1.0
lsi,50,10,1.0,1.0
lsi,50,14,1.0,1.0
lsi,50,26,1.0,1.0
lsi,50,28,1.0,1.0
lsi,50,33,1.0,1.0
lsi,50,37,1.0,1.0
lsi,50,41,0.0,0.0
lsi,50,45,1.0,1.0
lsi,50,51,1.0,1.0
lsi,50,57,0.0,0.5
lsi,51,2,1.0,1.0
lsi,51,7,1.0,1.0
lsi,51,8,0.0,0.5
lsi,51,9,0.0,0.3333333333333333
lsi,51,21,0.0,0.2
lsi,51,23,1.0,1.0
lsi,51,33,1.0,1.0
lsi,51,39,1.0,1.0
lsi,51,42,1.0,1.0
lsi,51,45,0.0,0.3333333333333333
lsi,51,50,0.0,0.5
lsi,51,54,0.0,0.0
lsi,52,2,1.0,1.0
lsi,52,6,0.0,0.5
lsi,52,9,0.0,0.3333333333333333
lsi,52,13,0.0,0.0
lsi,52,22,1.0,1.0
lsi,52,24,1.0,1.0
lsi,52,31,0.0,0.0
lsi,52,32,1.0,1.0
lsi,52,40,1.0,1.0
lsi,52,46,1.0,1.0
lsi,52,51,1.0,1.0
lsi,52,57,1.0,1.0
lsi,53,0,1.0,1.0
lsi,53,1,1.0,1.0
lsi,53,12,0.0,0.0
lsi,53,14,0.0,0.5
lsi,53,20,0.0,0.0
lsi,53,22,1.0,1.0
lsi,53,33,1.0,1.0
lsi,53,34,0.0,0.5
lsi,53,42,1.0,1.0
lsi,53,47,1.0,1.0
lsi,53,50,0.0,0.5
lsi,53,57,0.0,0.5
lsi,54,0,0.0,0.5
lsi,54,5,0.0,0.5
lsi,54,12,0.0,0.0
lsi,54,16,1.0,1.0
lsi,54,20,0.0,0.0
lsi,54,28,1.0,1.0
lsi,54,35,0.0,0.0
lsi,54,39,1.0,1.0
lsi,54,44,0.0,0.5
lsi,54,46,1.0,1.0
lsi,54,49,0.0,0.5
lsi,54,54,0.0,0.0
lsi,55,3,1.0,1.0
lsi,55,5,0.0,0.3333333333333333
lsi,55,8,0.0,0.5
lsi,55,18,0.0,0.3333333333333333
lsi,55,23,1.0,1.0
lsi,55,25,0.0,0.3333333333333333
lsi,55,32,1.0,1.0
lsi,55,37,1.0,1.0
lsi,55,45,0.0,0.5
lsi,55,46,1.0,1.0
lsi,55,48,1.0,1.0
lsi,55,57,1.0,1.0
lsi,56,1,1.0,1.0
lsi,56,7,1.0,1.0
lsi,56,12,0.0,0.0
lsi,56,18,0.0,0.5
lsi,56,24,1.0,1.0
lsi,56,27,0.0,0.5
lsi,56,30,0.0,0.3333333333333333
lsi,56,36,0.0,0.0
lsi,56,43,1.0,1.0
lsi,56,47,1.0,1.0
lsi,56,48,1.0,1.0
lsi,56,53,0.0,0.0
lsi,57,1,1.0,1.0
lsi,57,6,0.0,0.5
lsi,57,11,0.0,0.0
lsi,57,19,0.0,0.0
lsi,57,20,0.0,0.0
lsi,57,23,1.0,1.0
lsi,57,30,0.0,0.3333333333333333
lsi,57,35,0.0,0.0
lsi,57,42,1.0,1.0
lsi,57,43,1.0,1.0
lsi,57,49,0.0,0.5
lsi,57,56,0.0,0.0
lsi,58,2,1.0,1.0
lsi,58,4,0.0,0.3333333333333333
lsi,58,8,0.0,0.5
lsi,58,9,0.0,0.3333333333333333
lsi,58,21,0.0,0.2
lsi,58,25,0.0,0.3333333333333333
lsi,58,33,1.0,1.0
lsi,58,35,0.0,0.0
lsi,58,42,1.0,1.0
lsi,58,47,1.0,1.0
lsi,58,51,1.0,1.0
lsi,58,55,0.0,0.0
lsi,59,1,1.0,1.0
lsi,59,2,1.0,1.0
lsi,59,9,0.0,0.3333333333333333
lsi,59,13,0.0,0.0
lsi,59,23,1.0,1.0
lsi,59,24,1.0,1.0
lsi,59,35,0.0,0.0
lsi,59,38,1.0,1.0
lsi,59,40,1.0,1.0
lsi,59,43,1.0,1.0
lsi,59,50,0.0,0.5
lsi,59,52,1.0,1.0
lsi,60,3,1.0,1.0
lsi,60,5,0.0,0.5
lsi,60,12,0.0,0.0
lsi,60,18,0.0,0.5
lsi,60,23,1.0,1.0
lsi,60,25,0.0,0.3333333333333333
lsi,60,33,1.0,1.0
lsi,60,37,1.0,1.0
lsi,60,40,1.0,1.0
lsi,60,43,1.0,1.0
lsi,60,51,1.0,1.0
lsi,60,53,0.0,0.0
lsi,61,0,1.0,1.0
lsi,61,3,1.0,1.0
lsi,61,9,0.0,0.3333333333333333
lsi,61,12,0.0,0.0
lsi,61,23,1.0,1.0
lsi,61,24,1.0,1.0
lsi,61,30,0.0,0.3333333333333333
lsi,61,37,1.0,1.0
lsi,61,40,1.0,1.0
lsi,61,43,1.0,1.0
lsi,61,51,1.0,1.0
lsi,61,55,0.0,0.0
lsi,62,5,0.0,0.5
lsi,62,6,0.0,0.5
lsi,62,12,0.0,0.0
lsi,62,14,0.0,0.5
lsi,62,23,1.0,1.0
lsi,62,29,0.0,0.5
lsi,62,32,1.0,1.0
lsi,62,38,1.0,1.0
lsi,62,41,0.0,0.0
lsi,62,47,1.0,1.0
lsi,62,48,1.0,1.0
lsi,62,56,0.0,0.0
lsi,63,0,1.0,1.0
lsi,63,1,1.0,1.0
lsi,63,15,0.0,0.0
lsi,63,17,0.0,0.0
lsi,63,21,0.0,0.2
lsi,63,28,1.0,1.0
lsi,63,30,0.0,0.3333333333333333
lsi,63,31,0.0,0.0
lsi,63,43,1.0,1.0
lsi,63,47,1.0,1.0
lsi,63,51,1.0,1.0
lsi,63,54,0.0,0.0
lsi,64,1,1.0,1.0
lsi,64,6,0.0,0.5
lsi,64,8,0.0,0.5
lsi,64,18,0.0,0.3333333333333333
lsi,64,23,1.0,1.0
lsi,64,25,0.0,0.3333333333333333
lsi,64,31,0.0,0.0
lsi,64,32,1.0,1.0
lsi,64,40,1.0,1.0
lsi,64,41,0.0,0.0
lsi,64,49,0.0,0.5
lsi,64,54,0.0,0.0
lsi,65,0,0.0,0.5
lsi,65,5,0.0,0.5
lsi,65,10,1.0,1.0
lsi,65,17,0.0,0.0
lsi,65,23,1.0,1.0
lsi,65,26,1.0,1.0
lsi,65,30,0.0,0.25
lsi,65,33,1.0,1.0
lsi,65,42,1.0,1.0
lsi,65,45,0.0,0.5
lsi,65,48,1.0,1.0
lsi,65,54,0.0,0.0
lsi,66,0,0.0,0.5
lsi,66,6,0.0,0.5
lsi,66,13,0.0,0.0
