variant,seed,rid,top1,rr
multi,42,3,1.0,1.0
multi,42,4,0.0,0.5
multi,42,10,1.0,1.0
multi,42,11,0.0,0.0
multi,42,25,0.0,0.3333333333333333
multi,42,27,0.0,0.3333333333333333
multi,42,37,1.0,1.0
multi,42,38,1.0,1.0
multi,42,43,1.0,1.0
multi,42,47,1.0,1.0
multi,42,50,0.0,0.5
multi,42,53,0.0,0.0
multi,43,6,0.0,0.5
multi,43,7,1.0,1.0
multi,43,13,0.0,0.0
multi,43,16,0.0,0.25
multi,43,24,1.0,1.0
multi,43,26,1.0,1.0
multi,43,35,0.0,0.0
multi,43,39,1.0,1.0
multi,43,43,1.0,1.0
multi,43,45,1.0,1.0
multi,43,50,0.0,0.5
multi,43,52,1.0,1.0
multi,44,2,1.0,1.0
multi,44,5,0.0,0.5
multi,44,13,0.0,0.0
multi,44,14,1.0,1.0
multi,44,21,0.0,0.0
multi,44,27,0.0,0.25
multi,44,33,1.0,1.0
multi,44,37,1.0,1.0
multi,44,44,0.0,0.3333333333333333
multi,44,46,1.0,1.0
multi,44,50,0.0,0.5
multi,44,54,0.0,0.0
multi,45,5,0.0,0.5
multi,45,7,1.0,1.0
multi,45,11,0.0,0.0
multi,45,17,0.0,0.0
multi,45,26,1.0,1.0
multi,45,28,1.0,1.0
multi,45,36,0.0,0.0
multi,45,37,1.0,1.0
multi,45,44,0.0,0.3333333333333333
multi,45,46,1.0,1.0
multi,45,49,0.0,0.5
multi,45,56,0.0,0.0
multi,46,5,0.0,0.5
multi,46,6,0.0,0.5
multi,46,13,0.0,0.0
multi,46,15,0.0,0.0
multi,46,24,1.0,1.0
multi,46,27,0.0,0.3333333333333333
multi,46,32,1.0,1.0
multi,46,33,1.0,1.0
multi,46,46,1.0,1.0
multi,46,47,1.0,1.0
multi,46,51,1.0,1.0
multi,46,52,1.0,1.0
multi,47,1,1.0,1.0
multi,47,6,0.0,0.5
multi,47,9,0.0,0.3333333333333333
multi,47,10,1.0,1.0
multi,47,21,0.0,0.0
multi,47,25,0.0,0.3333333333333333
multi,47,34,1.0,1.0
multi,47,37,1.0,1.0
multi,47,40,1.0,1.0
multi,47,43,1.0,1.0
multi,47,50,0.0,0.5
multi,47,52,1.0,1.0
multi,48,0,1.0,1.0
multi,48,6,0.0,0.5
multi,48,8,0.0,0.3333333333333333
multi,48,18,0.0,0.5
multi,48,22,1.0,1.0
multi,48,24,1.0,1.0
multi,48,31,0.0,0.0
multi,48,37,1.0,1.0
multi,48,41,0.0,0.2
multi,48,46,1.0,1.0
multi,48,48,1.0,1.0
multi,48,52,1.0,1.0
multi,49,4,0.0,0.5
multi,49,7,1.0,1.0
multi,49,11,0.0,0.0
multi,49,14,1.0,1.0
multi,49,22,1.0,1.0
multi,49,23,1.0,1.0
multi,49,31,0.0,0.0
multi,49,36,0.0,0.0
multi,49,41,0.0,0.2
multi,49,46,1.0,1.0
multi,49,50,0.0,0.5
multi,49,52,1.0,1.0
multi,50,0,1.0,1.0
multi,50,3,1.0,1.0
multi,50,10,1.0,1.0
multi,50,14,1.0,1.0
multi,50,26,1.0,1.0
multi,50,28,1.0,1.0
multi,50,33,1.0,1.0
multi,50,37,1.0,1.0
multi,50,41,0.0,0.2
multi,50,45,1.0,1.0
multi,50,51,1.0,1.0
multi,50,57,0.0,0.3333333333333333
multi,51,2,1.0,1.0
multi,51,7,1.0,1.0
multi,51,8,0.0,0.3333333333333333
multi,51,9,0.0,0.3333333333333333
multi,51,21,0.0,0.0
multi,51,23,1.0,1.0
multi,51,33,1.0,1.0
multi,51,39,1.0,1.0
multi,51,42,1.0,1.0
multi,51,45,1.0,1.0
multi,51,50,0.0,0.5
multi,51,54,0.0,0.0
multi,52,2,1.0,1.0
multi,52,6,0.0,0.5
multi,52,9,0.0,0.3333333333333333
multi,52,13,0.0,0.0
multi,52,22,1.0,1.0
multi,52,24,1.0,1.0
multi,52,31,0.0,0.0
multi,52,32,1.0,1.0
multi,52,40,1.0,1.0
multi,52,46,1.0,1.0
multi,52,51,1.0,1.0
multi,52,57,0.0,0.3333333333333333
multi,53,0,1.0,1.0
multi,53,1,1.0,1.0
multi,53,12,0.0,0.0
multi,53,14,1.0,1.0
multi,53,20,0.0,0.0
multi,53,22,1.0,1.0
multi,53,33,1.0,1.0
multi,53,34,1.0,1.0
multi,53,42,1.0,1.0
multi,53,47,1.0,1.0
multi,53,50,0.0,0.5
multi,53,57,0.0,0.3333333333333333
multi,54,0,0.0,0.5
multi,54,5,0.0,0.5
multi,54,12,0.0,0.0
multi,54,16,0.0,0.25
multi,54,20,0.0,0.0
multi,54,28,1.0,1.0
multi,54,35,0.0,0.0
multi,54,39,1.0,1.0
multi,54,44,0.0,0.3333333333333333
multi,54,46,1.0,1.0
multi,54,49,0.0,0.5
multi,54,54,0.0,0.0
multi,55,3,1.0,1.0
multi,55,5,0.0,0.5
multi,55,8,0.0,0.3333333333333333
multi,55,18,0.0,0.3333333333333333
multi,55,23,1.0,1.0
multi,55,25,1.0,1.0
multi,55,32,1.0,1.0
multi,55,37,1.0,1.0
multi,55,45,1.0,1.0
multi,55,46,1.0,1.0
multi,55,48,1.0,1.0
multi,55,57,0.0,0.3333333333333333
multi,56,1,1.0,1.0
multi,56,7,1.0,1.0
multi,56,12,0.0,0.0
multi,56,18,0.0,0.5
multi,56,24,1.0,1.0
multi,56,27,0.0,0.3333333333333333
multi,56,30,1.0,1.0
multi,56,36,0.0,0.0
multi,56,43,1.0,1.0
multi,56,47,1.0,1.0
multi,56,48,1.0,1.0
multi,56,53,0.0,0.0
multi,57,1,1.0,1.0
multi,57,6,0.0,0.5
multi,57,11,0.0,0.0
multi,57,19,0.0,0.0
multi,57,20,0.0,0.0
multi,57,23,1.0,1.0
multi,57,30,1.0,1.0
