variant,seed,rid,top1,rr
tfidf,42,6,0.0,0.3333333333333333
tfidf,42,10,0.0,0.2
tfidf,42,14,1.0,1.0
tfidf,42,19,1.0,1.0
tfidf,42,22,0.0,0.3333333333333333
tfidf,42,26,0.0,0.5
tfidf,42,35,0.0,0.2
tfidf,42,41,0.0,0.0
tfidf,42,51,0.0,0.25
tfidf,42,52,0.0,0.5
tfidf,42,54,1.0,1.0
tfidf,42,61,0.0,0.0
tfidf,42,64,1.0,1.0
tfidf,43,7,0.0,0.0
tfidf,43,18,0.0,0.0
tfidf,43,23,0.0,0.0
tfidf,43,25,0.0,0.0
tfidf,43,27,0.0,0.0
tfidf,43,29,1.0,1.0
tfidf,43,30,1.0,1.0
tfidf,43,35,0.0,0.2
tfidf,43,45,0.0,0.0
tfidf,43,47,1.0,1.0
tfidf,43,59,0.0,0.0
tfidf,43,62,0.0,0.0
tfidf,43,65,0.0,0.0
tfidf,44,1,0.0,0.5
tfidf,44,14,1.0,1.0
tfidf,44,19,1.0,1.0
tfidf,44,27,0.0,0.0
tfidf,44,28,0.0,0.0
tfidf,44,29,1.0,1.0
tfidf,44,33,0.0,0.5
tfidf,44,37,1.0,1.0
tfidf,44,46,0.0,0.0
tfidf,44,47,1.0,1.0
tfidf,44,58,0.0,0.0
tfidf,44,60,0.0,0.0
tfidf,44,64,1.0,1.0
tfidf,45,5,0.0,0.0
tfidf,45,7,0.0,0.0
tfidf,45,12,0.0,0.5
tfidf,45,14,1.0,1.0
tfidf,45,16,0.0,0.0
tfidf,45,26,0.0,0.5
tfidf,45,33,0.0,0.5
tfidf,45,40,0.0,0.5
tfidf,45,50,0.0,0.0
tfidf,45,51,0.0,0.25
tfidf,45,58,0.0,0.0
tfidf,45,62,0.0,0.0
tfidf,45,65,0.0,0.0
tfidf,46,3,1.0,1.0
tfidf,46,6,0.0,0.3333333333333333
tfidf,46,9,0.0,0.5
tfidf,46,13,0.0,0.3333333333333333
tfidf,46,14,1.0,1.0
tfidf,46,19,1.0,1.0
tfidf,46,36,1.0,1.0
tfidf,46,40,0.0,0.5
tfidf,46,43,0.0,0.5
